,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
1,80002,39.79503,-105.10586,Arvada,CO,Colorado,TRUE,,18877,1183.7,8059,Jefferson,"{""08059"": ""94"", ""08001"": ""6""}",Jefferson|Adams,08059|08001,FALSE,FALSE,America/Denver
2,80003,39.82648,-105.06329,Arvada,CO,Colorado,TRUE,,36480,2073,8059,Jefferson,"{""08059"": ""83.78"", ""08001"": ""16.22""}",Jefferson|Adams,08059|08001,FALSE,FALSE,America/Denver
3,80004,39.81473,-105.12355,Arvada,CO,Colorado,TRUE,,36595,1918,8059,Jefferson,"{""08059"": ""100""}",Jefferson,8059,FALSE,FALSE,America/Denver
4,80005,39.85094,-105.13034,Arvada,CO,Colorado,TRUE,,28737,973.4,8059,Jefferson,"{""08059"": ""100""}",Jefferson,8059,FALSE,FALSE,America/Denver
5,80007,39.86605,-105.19937,Arvada,CO,Colorado,TRUE,,13783,207,8059,Jefferson,"{""08059"": ""100""}",Jefferson,8059,FALSE,FALSE,America/Denver
6,80010,39.73868,-104.86256,Aurora,CO,Colorado,TRUE,,42807,3009.4,8005,Arapahoe,"{""08005"": ""50.66"", ""08001"": ""49.34""}",Arapahoe|Adams,08005|08001,FALSE,FALSE,America/Denver
7,80011,39.73895,-104.78318,Aurora,CO,Colorado,TRUE,,52172,817.2,8005,Arapahoe,"{""08005"": ""61.41"", ""08001"": ""38.59""}",Arapahoe|Adams,08005|08001,FALSE,FALSE,America/Denver
8,80012,39.69975,-104.83759,Aurora,CO,Colorado,TRUE,,52588,2610.7,8005,Arapahoe,"{""08005"": ""99.02"", ""08031"": ""0.98""}",Arapahoe|Denver,08005|08031,FALSE,FALSE,America/Denver
9,80013,39.66138,-104.7657,Aurora,CO,Colorado,TRUE,,74105,2046.5,8005,Arapahoe,"{""08005"": ""100""}",Arapahoe,8005,FALSE,FALSE,America/Denver
10,80014,39.66354,-104.83815,Aurora,CO,Colorado,TRUE,,39333,2151.6,8005,Arapahoe,"{""08005"": ""87.84"", ""08031"": ""12.16""}",Arapahoe|Denver,08005|08031,FALSE,FALSE,America/Denver
11,80015,39.62598,-104.77999,Aurora,CO,Colorado,TRUE,,69487,1870,8005,Arapahoe,"{""08005"": ""100""}",Arapahoe,8005,FALSE,FALSE,America/Denver
12,80016,39.59971,-104.70728,Aurora,CO,Colorado,TRUE,,56841,471.6,8005,Arapahoe,"{""08005"": ""99.72"", ""08035"": ""0.28""}",Arapahoe|Douglas,08005|08035,FALSE,FALSE,America/Denver
13,80017,39.69762,-104.78588,Aurora,CO,Colorado,TRUE,,37668,2490.5,8005,Arapahoe,"{""08005"": ""100""}",Arapahoe,8005,FALSE,FALSE,America/Denver
14,80018,39.69289,-104.69551,Aurora,CO,Colorado,TRUE,,13397,194.9,8005,Arapahoe,"{""08005"": ""100""}",Arapahoe,8005,FALSE,FALSE,America/Denver
15,80019,39.78515,-104.70191,Aurora,CO,Colorado,TRUE,,2771,43.6,8001,Adams,"{""08001"": ""100""}",Adams,8001,FALSE,FALSE,America/Denver
16,80020,39.93182,-105.07453,Broomfield,CO,Colorado,TRUE,,50491,984.2,8014,Broomfield,"{""08014"": ""82.26"", ""08059"": ""17.43"", ""08013"": ""0.31"", ""08001"": ""0""}",Broomfield|Jefferson|Boulder|Adams,08014|08059|08013|08001,FALSE,FALSE,America/Denver
17,80021,39.89096,-105.11448,Broomfield,CO,Colorado,TRUE,,34097,797,8059,Jefferson,"{""08059"": ""91.33"", ""08014"": ""8.67""}",Jefferson|Broomfield,08059|08014,FALSE,FALSE,America/Denver
18,80022,39.87949,-104.79787,Commerce City,CO,Colorado,TRUE,,51863,435.5,8001,Adams,"{""08001"": ""100""}",Adams,8001,FALSE,FALSE,America/Denver
19,80023,39.97242,-105.01092,Broomfield,CO,Colorado,TRUE,,22659,497,8014,Broomfield,"{""08014"": ""86.51"", ""08001"": ""13.49""}",Broomfield|Adams,08014|08001,FALSE,FALSE,America/Denver
20,80024,39.84378,-104.91798,Dupont,CO,Colorado,TRUE,,216,2040,8001,Adams,"{""08001"": ""100""}",Adams,8001,FALSE,FALSE,America/Denver
