zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
32003,30.09813,-81.71255,Fleming Island,FL,Florida,TRUE,,28676,699.1,12019,Clay,"{""12019"": ""100""}",Clay,12019,FALSE,FALSE,America/New_York
32008,29.91651,-82.91313,Branford,FL,Florida,TRUE,,4425,12.4,12121,Suwannee,"{""12121"": ""48.3"", ""12067"": ""29.35"", ""12041"": ""19.89"", ""12029"": ""2.47""}",Suwannee|Lafayette|Gilchrist|Dixie,12121|12067|12041|12029,FALSE,FALSE,America/New_York
32009,30.41969,-81.97306,Bryceville,FL,Florida,TRUE,,3661,16.4,12089,Nassau,"{""12089"": ""100""}",Nassau,12089,FALSE,FALSE,America/New_York
32011,30.57101,-81.84037,Callahan,FL,Florida,TRUE,,14509,32.3,12089,Nassau,"{""12089"": ""100""}",Nassau,12089,FALSE,FALSE,America/New_York
32024,30.08057,-82.72642,Lake City,FL,Florida,TRUE,,19452,52.5,12023,Columbia,"{""12023"": ""88.8"", ""12121"": ""11.2""}",Columbia|Suwannee,12023|12121,FALSE,FALSE,America/New_York
32025,30.11075,-82.57601,Lake City,FL,Florida,TRUE,,23416,92.8,12023,Columbia,"{""12023"": ""100""}",Columbia,12023,FALSE,FALSE,America/New_York
32033,29.78899,-81.44175,Elkton,FL,Florida,TRUE,,4676,23.4,12109,St. Johns,"{""12109"": ""100""}",St. Johns,12109,FALSE,FALSE,America/New_York
32034,30.60546,-81.49163,Fernandina Beach,FL,Florida,TRUE,,36395,247.9,12089,Nassau,"{""12089"": ""100""}",Nassau,12089,FALSE,FALSE,America/New_York
32038,29.93801,-82.70056,Fort White,FL,Florida,TRUE,,10184,36.7,12023,Columbia,"{""12023"": ""100""}",Columbia,12023,FALSE,FALSE,America/New_York
32040,30.24347,-82.23885,Glen Saint Mary,FL,Florida,TRUE,,7329,23.2,12003,Baker,"{""12003"": ""100""}",Baker,12003,FALSE,FALSE,America/New_York
32043,29.93483,-81.72972,Green Cove Springs,FL,Florida,TRUE,,26743,50.9,12019,Clay,"{""12019"": ""99.3"", ""12107"": ""0.7""}",Clay|Putnam,12019|12107,FALSE,FALSE,America/New_York
32044,29.86109,-82.17457,Hampton,FL,Florida,TRUE,,1711,28.3,12007,Bradford,"{""12007"": ""100""}",Bradford,12007,FALSE,FALSE,America/New_York
32046,30.70318,-81.91857,Hilliard,FL,Florida,TRUE,,9418,18.8,12089,Nassau,"{""12089"": ""100""}",Nassau,12089,FALSE,FALSE,America/New_York
32052,30.47855,-82.93597,Jasper,FL,Florida,TRUE,,9427,13.2,12047,Hamilton,"{""12047"": ""100""}",Hamilton,12047,FALSE,FALSE,America/New_York
32053,30.56817,-83.13104,Jennings,FL,Florida,TRUE,,3538,11.1,12047,Hamilton,"{""12047"": ""100""}",Hamilton,12047,FALSE,FALSE,America/New_York
32054,30.02746,-82.39275,Lake Butler,FL,Florida,TRUE,,11811,21.3,12125,Union,"{""12125"": ""95.82"", ""12007"": ""4.18""}",Union|Bradford,12125|12007,FALSE,FALSE,America/New_York
32055,30.27019,-82.62539,Lake City,FL,Florida,TRUE,,16590,34.1,12023,Columbia,"{""12023"": ""100""}",Columbia,12023,FALSE,FALSE,America/New_York
