zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
48001,42.63776,-82.5796,Algonac,MI,Michigan,TRUE,,11903,241.5,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,FALSE,FALSE,America/Detroit
48002,42.93908,-82.926,Allenton,MI,Michigan,TRUE,,3224,33.5,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,FALSE,FALSE,America/Detroit
48003,42.93259,-83.04065,Almont,MI,Michigan,TRUE,,6047,70.8,26087,Lapeer,"{""26087"": ""100""}",Lapeer,26087,FALSE,FALSE,America/Detroit
48005,42.85024,-82.9231,Armada,MI,Michigan,TRUE,,5509,58.3,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48006,43.07539,-82.69647,Avoca,MI,Michigan,TRUE,,4058,21.9,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,FALSE,FALSE,America/Detroit
48009,42.54421,-83.21766,Birmingham,MI,Michigan,TRUE,,21201,1623,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,FALSE,FALSE,America/Detroit
48014,43.02537,-82.93086,Capac,MI,Michigan,TRUE,,4136,43.6,26147,St. Clair,"{""26147"": ""98.83"", ""26087"": ""1.17""}",St. Clair|Lapeer,26147|26087,FALSE,FALSE,America/Detroit
48015,42.48042,-83.0272,Center Line,MI,Michigan,TRUE,,8260,1862.7,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48017,42.53669,-83.15038,Clawson,MI,Michigan,TRUE,,11910,2094.8,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,FALSE,FALSE,America/Detroit
48021,42.46561,-82.94606,Eastpointe,MI,Michigan,TRUE,,32336,2434.1,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48022,43.02828,-82.81122,Emmett,MI,Michigan,TRUE,,2605,28.5,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,FALSE,FALSE,America/Detroit
48023,42.70096,-82.65923,Fair Haven,MI,Michigan,TRUE,,5094,115.5,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,FALSE,FALSE,America/Detroit
48025,42.52032,-83.26737,Franklin,MI,Michigan,TRUE,,14820,711.7,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,FALSE,FALSE,America/Detroit
48026,42.5388,-82.94964,Fraser,MI,Michigan,TRUE,,14580,1359.4,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48027,42.94467,-82.68212,Goodells,MI,Michigan,TRUE,,3194,33,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,FALSE,FALSE,America/Detroit
48028,42.5891,-82.61944,Harsens Island,MI,Michigan,TRUE,,999,21.6,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,FALSE,FALSE,America/Detroit
48030,42.46192,-83.09766,Hazel Park,MI,Michigan,TRUE,,16525,2265.2,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,FALSE,FALSE,America/Detroit
48032,43.13334,-82.59489,Jeddo,MI,Michigan,TRUE,,1875,19.4,26147,St. Clair,"{""26147"": ""81.44"", ""26151"": ""18.56""}",St. Clair|Sanilac,26147|26151,FALSE,FALSE,America/Detroit
48033,42.46456,-83.28869,Southfield,MI,Michigan,TRUE,,16757,721.8,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,FALSE,FALSE,America/Detroit
48034,42.49693,-83.29111,Southfield,MI,Michigan,TRUE,,13846,1240.1,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,FALSE,FALSE,America/Detroit
48035,42.55613,-82.90942,Clinton Township,MI,Michigan,TRUE,,35599,1563.4,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48036,42.59213,-82.89995,Clinton Township,MI,Michigan,TRUE,,21353,990.4,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48038,42.60546,-82.94158,Clinton Township,MI,Michigan,TRUE,,43478,1539.3,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48039,42.69665,-82.55054,Marine City,MI,Michigan,TRUE,,7573,127.1,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,FALSE,FALSE,America/Detroit
48040,42.90986,-82.48023,Marysville,MI,Michigan,TRUE,,9693,541.6,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,FALSE,FALSE,America/Detroit
48041,42.93873,-82.80268,Memphis,MI,Michigan,TRUE,,4536,43.8,26147,St. Clair,"{""26147"": ""81.41"", ""26099"": ""18.59""}",St. Clair|Macomb,26147|26099,FALSE,FALSE,America/Detroit
48042,42.68677,-82.90861,Macomb,MI,Michigan,TRUE,,31485,534.4,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48043,42.59781,-82.88221,Mount Clemens,MI,Michigan,TRUE,,16332,1535.6,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48044,42.64991,-82.92956,Macomb,MI,Michigan,TRUE,,57745,1651.1,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48045,42.59168,-82.83023,Harrison Township,MI,Michigan,TRUE,,24995,670.4,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48047,42.6777,-82.77761,New Baltimore,MI,Michigan,TRUE,,40535,867.9,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48048,42.74246,-82.79774,New Haven,MI,Michigan,TRUE,,7973,161.9,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48049,43.03594,-82.57496,North Street,MI,Michigan,TRUE,,5451,58.8,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,FALSE,FALSE,America/Detroit
48050,42.78482,-82.80142,New Haven,MI,Michigan,TRUE,,1416,29.5,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48051,42.69378,-82.82068,New Baltimore,MI,Michigan,TRUE,,18878,485.1,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48054,42.77074,-82.54496,East China,MI,Michigan,TRUE,,7170,68.2,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,FALSE,FALSE,America/Detroit
48059,43.08281,-82.49942,Fort Gratiot,MI,Michigan,TRUE,,14932,182.5,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,FALSE,FALSE,America/Detroit
48060,42.97864,-82.46271,Port Huron,MI,Michigan,TRUE,,39405,729.6,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,FALSE,FALSE,America/Detroit
48062,42.849,-82.79989,Richmond,MI,Michigan,TRUE,,9604,93.9,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48063,42.85587,-82.67679,Columbus,MI,Michigan,TRUE,,4013,42.2,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,FALSE,FALSE,America/Detroit
48064,42.76719,-82.67231,Casco,MI,Michigan,TRUE,,4036,42.1,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,FALSE,FALSE,America/Detroit
48065,42.84552,-83.0407,Romeo,MI,Michigan,TRUE,,11042,114.1,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48066,42.50734,-82.93697,Roseville,MI,Michigan,TRUE,,47507,1860.7,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48067,42.49046,-83.13795,Royal Oak,MI,Michigan,TRUE,,24556,2065.5,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,FALSE,FALSE,America/Detroit
48069,42.4714,-83.14426,Pleasant Ridge,MI,Michigan,TRUE,,2431,1757.9,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,FALSE,FALSE,America/Detroit
48070,42.48163,-83.16844,Huntington Woods,MI,Michigan,TRUE,,6322,1640.7,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,FALSE,FALSE,America/Detroit
48071,42.5073,-83.10339,Madison Heights,MI,Michigan,TRUE,,30120,1639,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,FALSE,FALSE,America/Detroit
48072,42.49788,-83.18588,Berkley,MI,Michigan,TRUE,,15372,2471.3,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,FALSE,FALSE,America/Detroit
48073,42.5192,-83.16436,Royal Oak,MI,Michigan,TRUE,,34700,1815.6,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,FALSE,FALSE,America/Detroit
48074,42.94827,-82.56202,Smiths Creek,MI,Michigan,TRUE,,9172,95.5,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,FALSE,FALSE,America/Detroit
48075,42.46206,-83.23042,Southfield,MI,Michigan,TRUE,,21758,1135.9,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,FALSE,FALSE,America/Detroit
48076,42.4975,-83.23088,Southfield,MI,Michigan,TRUE,,24947,1353.8,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,FALSE,FALSE,America/Detroit
48079,42.85781,-82.54738,Saint Clair,MI,Michigan,TRUE,,12188,112.9,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,FALSE,FALSE,America/Detroit
48080,42.46416,-82.89956,Saint Clair Shores,MI,Michigan,TRUE,,22592,1973.6,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48081,42.49505,-82.89862,Saint Clair Shores,MI,Michigan,TRUE,,20671,2030.5,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48082,42.52703,-82.88713,Saint Clair Shores,MI,Michigan,TRUE,,16200,1892.6,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48083,42.55706,-83.11685,Troy,MI,Michigan,TRUE,,22561,1008.4,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,FALSE,FALSE,America/Detroit
48084,42.56064,-83.17572,Troy,MI,Michigan,TRUE,,15737,983.2,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,FALSE,FALSE,America/Detroit
48085,42.60063,-83.11982,Troy,MI,Michigan,TRUE,,26459,1098.3,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,FALSE,FALSE,America/Detroit
48088,42.51565,-82.98297,Warren,MI,Michigan,TRUE,,22189,1931.1,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48089,42.47019,-82.99544,Warren,MI,Michigan,TRUE,,31226,1516.4,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48091,42.46818,-83.05799,Warren,MI,Michigan,TRUE,,29811,1441,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48092,42.51398,-83.05937,Warren,MI,Michigan,TRUE,,26939,1269.6,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48093,42.51416,-83.01481,Warren,MI,Michigan,TRUE,,24632,1682,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48094,42.73641,-83.03709,Washington,MI,Michigan,TRUE,,19872,438,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48095,42.7798,-83.03864,Washington,MI,Michigan,TRUE,,5765,131.5,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48096,42.76136,-82.92003,Ray,MI,Michigan,TRUE,,4010,42.3,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,FALSE,FALSE,America/Detroit
48097,43.126,-82.8295,Yale,MI,Michigan,TRUE,,5273,26.7,26147,St. Clair,"{""26147"": ""88.93"", ""26151"": ""11.07""}",St. Clair|Sanilac,26147|26151,FALSE,FALSE,America/Detroit
48098,42.59907,-83.17888,Troy,MI,Michigan,TRUE,,19232,791.1,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,FALSE,FALSE,America/Detroit
48101,42.25987,-83.21061,Allen Park,MI,Michigan,TRUE,,27216,1495.6,26163,Wayne,"{""26163"": ""100""}",Wayne,26163,FALSE,FALSE,America/Detroit
48103,42.25991,-83.84325,Ann Arbor,MI,Michigan,TRUE,,55118,327,26161,Washtenaw,"{""26161"": ""100""}",Washtenaw,26161,FALSE,FALSE,America/Detroit
48104,42.26425,-83.71703,Ann Arbor,MI,Michigan,TRUE,,43369,2152.9,26161,Washtenaw,"{""26161"": ""100""}",Washtenaw,26161,FALSE,FALSE,America/Detroit
48105,42.33168,-83.70705,Ann Arbor,MI,Michigan,TRUE,,36718,284.1,26161,Washtenaw,"{""26161"": ""100""}",Washtenaw,26161,FALSE,FALSE,America/Detroit
48108,42.22217,-83.73181,Ann Arbor,MI,Michigan,TRUE,,26753,608.9,26161,Washtenaw,"{""26161"": ""100""}",Washtenaw,26161,FALSE,FALSE,America/Detroit
48109,42.28357,-83.72398,Ann Arbor,MI,Michigan,TRUE,,5506,2176.5,26161,Washtenaw,"{""26161"": ""100""}",Washtenaw,26161,FALSE,FALSE,America/Detroit
48111,42.17903,-83.48676,Belleville,MI,Michigan,TRUE,,40926,234.1,26163,Wayne,"{""26163"": ""99.34"", ""26161"": ""0.48"", ""26115"": ""0.17""}",Wayne|Washtenaw|Monroe,26163|26161|26115,FALSE,FALSE,America/Detroit
48114,42.57002,-83.74835,Brighton,MI,Michigan,TRUE,,21177,247.4,26093,Livingston,"{""26093"": ""100""}",Livingston,26093,FALSE,FALSE,America/Detroit
48116,42.50513,-83.78199,Brighton,MI,Michigan,TRUE,,27244,287.6,26093,Livingston,"{""26093"": ""100""}",Livingston,26093,FALSE,FALSE,America/Detroit
