zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
59001,45.52642,-109.5245,Absarokee,MT,Montana,TRUE,,1558,3.8,30095,Stillwater,"{""30095"": ""96.53"", ""30009"": ""3.47""}",Stillwater|Carbon,30095|30009,FALSE,FALSE,America/Denver
59002,45.98428,-108.67398,Acton,MT,Montana,TRUE,,127,0.8,30111,Yellowstone,"{""30111"": ""100""}",Yellowstone,30111,FALSE,FALSE,America/Denver
59003,45.46675,-106.19541,Ashland,MT,Montana,TRUE,,1359,0.8,30087,Rosebud,"{""30087"": ""85.26"", ""30075"": ""14.74""}",Rosebud|Powder River,30087|30075,FALSE,FALSE,America/Denver
59006,45.90861,-108.08042,Ballantine,MT,Montana,TRUE,,1461,8.7,30111,Yellowstone,"{""30111"": ""100""}",Yellowstone,30111,FALSE,FALSE,America/Denver
59007,45.13859,-109.14139,Bearcreek,MT,Montana,TRUE,,172,1.2,30009,Carbon,"{""30009"": ""100""}",Carbon,30009,FALSE,FALSE,America/Denver
59008,45.07284,-109.05888,Belfry,MT,Montana,TRUE,,512,1.9,30009,Carbon,"{""30009"": ""100""}",Carbon,30009,FALSE,FALSE,America/Denver
59010,45.99697,-107.30997,Bighorn,MT,Montana,TRUE,,167,0.2,30103,Treasure,"{""30103"": ""52.94"", ""30003"": ""47.06""}",Treasure|Big Horn,30103|30003,FALSE,FALSE,America/Denver
59011,45.9299,-109.97895,Big Timber,MT,Montana,TRUE,,3120,1.3,30097,Sweet Grass,"{""30097"": ""100""}",Sweet Grass,30097,FALSE,FALSE,America/Denver
59012,45.27317,-106.49272,Birney,MT,Montana,TRUE,,254,0.4,30087,Rosebud,"{""30087"": ""100""}",Rosebud,30087,FALSE,FALSE,America/Denver
59013,45.45604,-109.08717,Boyd,MT,Montana,TRUE,,128,16.4,30009,Carbon,"{""30009"": ""100""}",Carbon,30009,FALSE,FALSE,America/Denver
59014,45.19433,-108.76985,Bridger,MT,Montana,TRUE,,1712,1.6,30009,Carbon,"{""30009"": ""100""}",Carbon,30009,FALSE,FALSE,America/Denver
59015,46.07518,-108.83149,Broadview,MT,Montana,TRUE,,503,0.8,30111,Yellowstone,"{""30111"": ""79.17"", ""30095"": ""12.5"", ""30065"": ""8.33""}",Yellowstone|Stillwater|Musselshell,30111|30095|30065,FALSE,FALSE,America/Denver
59016,45.41077,-106.96221,Busby,MT,Montana,TRUE,,962,0.9,30003,Big Horn,"{""30003"": ""100""}",Big Horn,30003,FALSE,FALSE,America/Denver
59018,45.86107,-110.56342,Clyde Park,MT,Montana,TRUE,,496,0.9,30067,Park,"{""30067"": ""100""}",Park,30067,FALSE,FALSE,America/Denver
59019,45.65095,-109.2457,Columbus,MT,Montana,TRUE,,4380,5,30095,Stillwater,"{""30095"": ""99.77"", ""30009"": ""0.23""}",Stillwater|Carbon,30095|30009,FALSE,FALSE,America/Denver
59020,45.09558,-110.02575,Cooke City,MT,Montana,TRUE,,63,0.1,30067,Park,"{""30067"": ""100""}",Park,30067,FALSE,FALSE,America/Denver
59022,45.54103,-107.28431,Crow Agency,MT,Montana,TRUE,,2411,5.6,30003,Big Horn,"{""30003"": ""100""}",Big Horn,30003,FALSE,FALSE,America/Denver
59024,46.20104,-107.71123,Custer,MT,Montana,TRUE,,444,0.3,30111,Yellowstone,"{""30111"": ""90.51"", ""30003"": ""9.49""}",Yellowstone|Big Horn,30111|30003,FALSE,FALSE,America/Denver
59025,45.09485,-106.63038,Decker,MT,Montana,TRUE,,44,0,30003,Big Horn,"{""30003"": ""100""}",Big Horn,30003,FALSE,FALSE,America/Denver
59026,45.47218,-108.80055,Edgar,MT,Montana,TRUE,,200,3.8,30009,Carbon,"{""30009"": ""100""}",Carbon,30009,FALSE,FALSE,America/Denver
59027,45.24021,-110.9063,Emigrant,MT,Montana,TRUE,,628,1.1,30067,Park,"{""30067"": ""100""}",Park,30067,FALSE,FALSE,America/Denver
59028,45.34492,-109.68506,Fishtail,MT,Montana,TRUE,,512,0.9,30095,Stillwater,"{""30095"": ""100""}",Stillwater,30095,FALSE,FALSE,America/Denver
59029,45.40732,-108.80085,Fromberg,MT,Montana,TRUE,,847,3.2,30009,Carbon,"{""30009"": ""100""}",Carbon,30009,FALSE,FALSE,America/Denver
59030,45.08481,-110.57248,Gardiner,MT,Montana,TRUE,,1211,1,30067,Park,"{""30067"": ""100""}",Park,30067,FALSE,FALSE,America/Denver
59031,45.50144,-107.42008,Garryowen,MT,Montana,TRUE,,418,2.3,30003,Big Horn,"{""30003"": ""100""}",Big Horn,30003,FALSE,FALSE,America/Denver
59032,47.0227,-108.74436,Grass Range,MT,Montana,TRUE,,511,0.5,30027,Fergus,"{""30027"": ""96.08"", ""30069"": ""3.92""}",Fergus|Petroleum,30027|30069,FALSE,FALSE,America/Denver
59033,45.72862,-109.70192,Greycliff,MT,Montana,TRUE,,276,1.4,30097,Sweet Grass,"{""30097"": ""100""}",Sweet Grass,30097,FALSE,FALSE,America/Denver
59034,45.69788,-107.68068,Hardin,MT,Montana,TRUE,,5454,2.8,30003,Big Horn,"{""30003"": ""100""}",Big Horn,30003,FALSE,FALSE,America/Denver
59035,45.29237,-107.96723,Fort Smith,MT,Montana,TRUE,,204,1,30003,Big Horn,"{""30003"": ""100""}",Big Horn,30003,FALSE,FALSE,America/Denver
59036,46.48592,-109.93495,Harlowton,MT,Montana,TRUE,,1428,1,30107,Wheatland,"{""30107"": ""100""}",Wheatland,30107,FALSE,FALSE,America/Denver
59037,45.80627,-108.21282,Huntley,MT,Montana,TRUE,,1752,3.6,30111,Yellowstone,"{""30111"": ""100""}",Yellowstone,30111,FALSE,FALSE,America/Denver
59038,46.19039,-107.22703,Hysham,MT,Montana,TRUE,,531,0.2,30103,Treasure,"{""30103"": ""96.19"", ""30003"": ""3.81""}",Treasure|Big Horn,30103|30003,FALSE,FALSE,America/Denver
59039,46.69466,-107.29021,Ingomar,MT,Montana,TRUE,,43,0,30087,Rosebud,"{""30087"": ""100""}",Rosebud,30087,FALSE,FALSE,America/Denver
59041,45.49743,-108.97689,Joliet,MT,Montana,TRUE,,1748,3.4,30009,Carbon,"{""30009"": ""97.44"", ""30111"": ""2.56""}",Carbon|Yellowstone,30009|30111,FALSE,FALSE,America/Denver
