zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
27006,35.94454,-80.43766,Advance,NC,North Carolina,TRUE,,14329,86.6,37059,Davie,"{""37059"": ""100""}",Davie,37059,FALSE,FALSE,America/New_York
27007,36.38732,-80.59249,Ararat,NC,North Carolina,TRUE,,2550,46.4,37171,Surry,"{""37171"": ""100""}",Surry,37171,FALSE,FALSE,America/New_York
27009,36.23306,-80.07612,Belews Creek,NC,North Carolina,TRUE,,3002,73.1,37067,Forsyth,"{""37067"": ""99.7"", ""37169"": ""0.3""}",Forsyth|Stokes,37067|37169,FALSE,FALSE,America/New_York
27011,36.2156,-80.69667,Boonville,NC,North Carolina,TRUE,,5201,37.8,37197,Yadkin,"{""37197"": ""100""}",Yadkin,37197,FALSE,FALSE,America/New_York
27012,36.0041,-80.37582,Clemmons,NC,North Carolina,TRUE,,28334,260.8,37067,Forsyth,"{""37067"": ""80.04"", ""37057"": ""19.96""}",Forsyth|Davidson,37067|37057,FALSE,FALSE,America/New_York
27013,35.75594,-80.70351,Cleveland,NC,North Carolina,TRUE,,5814,29.8,37159,Rowan,"{""37159"": ""71.09"", ""37097"": ""28.91""}",Rowan|Iredell,37159|37097,FALSE,FALSE,America/New_York
27014,35.81193,-80.55519,Cooleemee,NC,North Carolina,TRUE,,942,589.8,37059,Davie,"{""37059"": ""100""}",Davie,37059,FALSE,FALSE,America/New_York
27016,36.45168,-80.21452,Danbury,NC,North Carolina,TRUE,,1339,12.9,37169,Stokes,"{""37169"": ""100""}",Stokes,37169,FALSE,FALSE,America/New_York
27017,36.38153,-80.76031,Dobson,NC,North Carolina,TRUE,,9144,32.9,37171,Surry,"{""37171"": ""100""}",Surry,37171,FALSE,FALSE,America/New_York
27018,36.19792,-80.52076,East Bend,NC,North Carolina,TRUE,,8204,38.6,37197,Yadkin,"{""37197"": ""100""}",Yadkin,37197,FALSE,FALSE,America/New_York
27019,36.28392,-80.23478,Germanton,NC,North Carolina,TRUE,,3900,42.8,37169,Stokes,"{""37169"": ""63.07"", ""37067"": ""36.93""}",Stokes|Forsyth,37169|37067,FALSE,FALSE,America/New_York
27020,36.10084,-80.80798,Hamptonville,NC,North Carolina,TRUE,,6205,32.6,37197,Yadkin,"{""37197"": ""87.24"", ""37097"": ""6.7"", ""37193"": ""6.06""}",Yadkin|Iredell|Wilkes,37197|37097|37193,FALSE,FALSE,America/New_York
27021,36.31838,-80.33868,King,NC,North Carolina,TRUE,,17489,126.8,37169,Stokes,"{""37169"": ""99.24"", ""37067"": ""0.76""}",Stokes|Forsyth,37169|37067,FALSE,FALSE,America/New_York
27022,36.51447,-80.21465,Lawsonville,NC,North Carolina,TRUE,,1103,12.8,37169,Stokes,"{""37169"": ""100""}",Stokes,37169,FALSE,FALSE,America/New_York
27023,36.09096,-80.45048,Lewisville,NC,North Carolina,TRUE,,12728,176.9,37067,Forsyth,"{""37067"": ""100""}",Forsyth,37067,FALSE,FALSE,America/New_York
27024,36.52379,-80.84169,Lowgap,NC,North Carolina,TRUE,,3205,27.9,37171,Surry,"{""37171"": ""100""}",Surry,37171,FALSE,FALSE,America/New_York
