zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
87001,35.38884,-106.3516,Algodones,NM,New Mexico,TRUE,,3639,11.7,35043,Sandoval,"{""35043"": ""100""}",Sandoval,35043,FALSE,FALSE,America/Denver
87002,34.60272,-106.6599,Belen,NM,New Mexico,TRUE,,21993,24.6,35061,Valencia,"{""35061"": ""100""}",Valencia,35061,FALSE,FALSE,America/Denver
87004,35.35824,-106.58333,Bernalillo,NM,New Mexico,TRUE,,11673,79,35043,Sandoval,"{""35043"": ""100""}",Sandoval,35043,FALSE,FALSE,America/Denver
87005,35.26424,-107.97682,Bluewater,NM,New Mexico,TRUE,,219,2.8,35006,Cibola,"{""35006"": ""100""}",Cibola,35006,FALSE,FALSE,America/Denver
87006,34.49195,-106.84311,Bosque,NM,New Mexico,TRUE,,1549,10.4,35053,Socorro,"{""35053"": ""59.6"", ""35061"": ""40.4""}",Socorro|Valencia,35053|35061,FALSE,FALSE,America/Denver
87007,35.03773,-107.50292,Casa Blanca,NM,New Mexico,TRUE,,1020,16.5,35006,Cibola,"{""35006"": ""100""}",Cibola,35006,FALSE,FALSE,America/Denver
87008,35.14572,-106.3918,Cedar Crest,NM,New Mexico,TRUE,,2464,33.6,35001,Bernalillo,"{""35001"": ""100""}",Bernalillo,35001,FALSE,FALSE,America/Denver
87010,35.39865,-106.12888,Cerrillos,NM,New Mexico,TRUE,,1059,2.5,35049,Santa Fe,"{""35049"": ""100""}",Santa Fe,35049,FALSE,FALSE,America/Denver
87011,34.06453,-105.94955,Claunch,NM,New Mexico,TRUE,,48,0,35027,Lincoln,"{""35027"": ""57.14"", ""35053"": ""42.86""}",Lincoln|Socorro,35027|35053,FALSE,FALSE,America/Denver
87012,36.1018,-106.66923,Coyote,NM,New Mexico,TRUE,,226,0.9,35039,Rio Arriba,"{""35039"": ""100""}",Rio Arriba,35039,FALSE,FALSE,America/Denver
