,,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
1,1%,89001,37.27386,-115.39051,Alamo,NV,Nevada,TRUE,,1363,0.3,32017,Lincoln,"{""32017"": ""99.84"", ""32023"": ""0.16""}",Lincoln|Nye,32017|32023,FALSE,FALSE,America/Los_Angeles
2,1%,89002,35.99857,-114.96171,Henderson,NV,Nevada,TRUE,,35881,1556.7,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
3,2%,89003,36.95743,-116.7262,Beatty,NV,Nevada,TRUE,,820,1,32023,Nye,"{""32023"": ""100""}",Nye,32023,FALSE,FALSE,America/Los_Angeles
4,2%,89004,36.08529,-115.47079,Blue Diamond,NV,Nevada,TRUE,,326,2.9,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
5,3%,89005,35.98675,-114.82466,Boulder City,NV,Nevada,TRUE,,15840,49.8,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
6,3%,89007,36.63481,-114.18809,Bunkerville,NV,Nevada,TRUE,,1479,1.7,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
7,4%,89008,37.27637,-114.54633,Caliente,NV,Nevada,TRUE,,1009,0.2,32017,Lincoln,"{""32017"": ""100""}",Lincoln,32017,FALSE,FALSE,America/Los_Angeles
8,5%,89010,37.77764,-118.08391,Dyer,NV,Nevada,TRUE,,514,0.5,32009,Esmeralda,"{""32009"": ""88.67"", ""06051"": ""7.47"", ""32021"": ""3.86""}",Esmeralda|Mono|Mineral,32009|06051|32021,FALSE,FALSE,America/Los_Angeles
9,5%,89011,36.0828,-114.96848,Henderson,NV,Nevada,TRUE,,28229,660.3,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
10,6%,89012,36.01194,-115.04397,Henderson,NV,Nevada,TRUE,,36512,1305.4,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
11,6%,89013,37.3979,-117.403,Goldfield,NV,Nevada,TRUE,,305,0.1,32009,Esmeralda,"{""32009"": ""100""}",Esmeralda,32009,FALSE,FALSE,America/Los_Angeles
12,7%,89014,36.06172,-115.05811,Henderson,NV,Nevada,TRUE,,39430,2009.5,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
13,7%,89015,36.03921,-114.92817,Henderson,NV,Nevada,TRUE,,42387,436.8,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
14,8%,89017,37.73096,-115.24786,Hiko,NV,Nevada,TRUE,,83,0.1,32017,Lincoln,"{""32017"": ""100""}",Lincoln,32017,FALSE,FALSE,America/Los_Angeles
15,9%,89018,36.54161,-115.66863,Indian Springs,NV,Nevada,TRUE,,4847,33.3,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
16,9%,89019,35.76621,-115.73453,Jean,NV,Nevada,TRUE,,2158,1.7,32003,Clark,"{""32003"": ""97.42"", ""06071"": ""2.58"", ""06027"": ""0""}",Clark|San Bernardino|Inyo,32003|06071|06027,FALSE,FALSE,America/Los_Angeles
17,10%,89020,36.53671,-116.4348,Amargosa Valley,NV,Nevada,TRUE,,1435,1.6,32023,Nye,"{""32023"": ""100""}",Nye,32023,FALSE,FALSE,America/Los_Angeles
18,10%,89021,36.63094,-114.46701,Logandale,NV,Nevada,TRUE,,3534,33.4,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
19,11%,89022,38.541,-117.02063,Manhattan,NV,Nevada,TRUE,,0,0,32023,Nye,"{""32023"": ""100""}",Nye,32023,FALSE,FALSE,America/Los_Angeles
20,11%,89025,36.61511,-114.9107,Moapa,NV,Nevada,TRUE,,1203,0.7,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
21,12%,89026,35.75522,-115.28964,Jean,NV,Nevada,TRUE,,0,0,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
22,13%,89027,36.81122,-114.12363,Mesquite,NV,Nevada,TRUE,,18446,241.5,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
