,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
1,43001,40.08865,-82.61366,Alexandria,OH,Ohio,TRUE,,2570,37.4,39089,Licking,"{""39089"": ""100""}",Licking,39089,FALSE,FALSE,America/New_York
2,43002,40.06333,-83.1739,Amlin,OH,Ohio,TRUE,,4303,1659.6,39049,Franklin,"{""39049"": ""100""}",Franklin,39049,FALSE,FALSE,America/New_York
3,43003,40.41034,-82.97538,Ashley,OH,Ohio,TRUE,,2922,33.3,39041,Delaware,"{""39041"": ""74.7"", ""39117"": ""25.3""}",Delaware|Morrow,39041|39117,FALSE,FALSE,America/New_York
4,43004,40.01581,-82.80012,Blacklick,OH,Ohio,TRUE,,27227,812.5,39049,Franklin,"{""39049"": ""100""}",Franklin,39049,FALSE,FALSE,America/New_York
5,43005,40.28618,-82.27706,Bladensburg,OH,Ohio,TRUE,,177,82.1,39083,Knox,"{""39083"": ""100""}",Knox,39083,FALSE,FALSE,America/New_York
6,43006,40.45874,-82.14575,Brinkhaven,OH,Ohio,TRUE,,537,8.7,39075,Holmes,"{""39075"": ""44.65"", ""39031"": ""31.39"", ""39083"": ""23.97""}",Holmes|Coshocton|Knox,39075|39031|39083,FALSE,FALSE,America/New_York
7,43008,39.93381,-82.48137,Buckeye Lake,OH,Ohio,TRUE,,2640,684,39089,Licking,"{""39089"": ""100""}",Licking,39089,FALSE,FALSE,America/New_York
8,43009,40.17253,-83.64152,Cable,OH,Ohio,TRUE,,2614,29.3,39021,Champaign,"{""39021"": ""100""}",Champaign,39021,FALSE,FALSE,America/New_York
9,43010,39.99965,-83.62186,Catawba,OH,Ohio,TRUE,,242,404.9,39023,Clark,"{""39023"": ""100""}",Clark,39023,FALSE,FALSE,America/New_York
10,43011,40.31046,-82.68616,Centerburg,OH,Ohio,TRUE,,8018,37.5,39083,Knox,"{""39083"": ""68.36"", ""39117"": ""13.43"", ""39089"": ""9.73"", ""39041"": ""8.48""}",Knox|Morrow|Licking|Delaware,39083|39117|39089|39041,FALSE,FALSE,America/New_York
11,43013,40.2322,-82.68766,Croton,OH,Ohio,TRUE,,778,15.6,39089,Licking,"{""39089"": ""100""}",Licking,39089,FALSE,FALSE,America/New_York
12,43014,40.47131,-82.2564,Danville,OH,Ohio,TRUE,,3733,21.9,39083,Knox,"{""39083"": ""100""}",Knox,39083,FALSE,FALSE,America/New_York
13,43015,40.2968,-83.06065,Delaware,OH,Ohio,TRUE,,56596,174.9,39041,Delaware,"{""39041"": ""99.85"", ""39159"": ""0.15""}",Delaware|Union,39041|39159,FALSE,FALSE,America/New_York
14,43016,40.09861,-83.15376,Dublin,OH,Ohio,TRUE,,36886,786.2,39049,Franklin,"{""39049"": ""92.2"", ""39159"": ""7.15"", ""39041"": ""0.65""}",Franklin|Union|Delaware,39049|39159|39041,FALSE,FALSE,America/New_York
15,43017,40.11682,-83.1301,Dublin,OH,Ohio,TRUE,,41612,952.7,39049,Franklin,"{""39049"": ""82.42"", ""39041"": ""15.81"", ""39159"": ""1.76""}",Franklin|Delaware|Union,39049|39041|39159,FALSE,FALSE,America/New_York
16,43019,40.49344,-82.57643,Fredericktown,OH,Ohio,TRUE,,8786,32.1,39083,Knox,"{""39083"": ""78.61"", ""39117"": ""20.47"", ""39139"": ""0.92""}",Knox|Morrow|Richland,39083|39117|39139,FALSE,FALSE,America/New_York
17,43021,40.20095,-82.88428,Galena,OH,Ohio,TRUE,,12708,137.7,39041,Delaware,"{""39041"": ""100""}",Delaware,39041,FALSE,FALSE,America/New_York
18,43022,40.33833,-82.33968,Gambier,OH,Ohio,TRUE,,4353,40.6,39083,Knox,"{""39083"": ""100""}",Knox,39083,FALSE,FALSE,America/New_York
19,43023,40.07526,-82.53181,Granville,OH,Ohio,TRUE,,14326,106.7,39089,Licking,"{""39089"": ""100""}",Licking,39089,FALSE,FALSE,America/New_York
20,43025,39.96634,-82.51676,Hebron,OH,Ohio,TRUE,,5092,56.2,39089,Licking,"{""39089"": ""100""}",Licking,39089,FALSE,FALSE,America/New_York
21,43026,40.02276,-83.1855,Hilliard,OH,Ohio,TRUE,,63047,694.1,39049,Franklin,"{""39049"": ""99.97"", ""39097"": ""0.03""}",Franklin|Madison,39049|39097,FALSE,FALSE,America/New_York
22,43028,40.40033,-82.29352,Howard,OH,Ohio,TRUE,,8204,59.2,39083,Knox,"{""39083"": ""100""}",Knox,39083,FALSE,FALSE,America/New_York
23,43029,40.09509,-83.45856,Irwin,OH,Ohio,TRUE,,420,6.9,39097,Madison,"{""39097"": ""72.74"", ""39159"": ""27.26""}",Madison|Union,39097|39159,FALSE,FALSE,America/New_York
