,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
1,84001,40.3514,-110.27544,Altamont,UT,Utah,TRUE,,568,9.7,49013,Duchesne,"{""49013"": ""100""}",Duchesne,49013,FALSE,FALSE,America/Denver
2,84002,40.45199,-110.30781,Altonah,UT,Utah,TRUE,,335,2.4,49013,Duchesne,"{""49013"": ""100""}",Duchesne,49013,FALSE,FALSE,America/Denver
3,84003,40.46017,-111.71916,American Fork,UT,Utah,TRUE,,50222,335.4,49049,Utah,"{""49049"": ""100""}",Utah,49049,FALSE,FALSE,America/Denver
4,84004,40.48814,-111.74906,Alpine,UT,Utah,TRUE,,10553,139,49049,Utah,"{""49049"": ""100""}",Utah,49049,FALSE,FALSE,America/Denver
5,84005,40.32513,-111.99656,Eagle Mountain,UT,Utah,TRUE,,31383,392.9,49049,Utah,"{""49049"": ""100""}",Utah,49049,FALSE,FALSE,America/Denver
6,84006,40.60131,-112.11715,Bingham Canyon,UT,Utah,TRUE,,894,16.5,49035,Salt Lake,"{""49035"": ""100""}",Salt Lake,49035,FALSE,FALSE,America/Denver
7,84007,40.32134,-110.20174,Bluebell,UT,Utah,TRUE,,639,5.4,49013,Duchesne,"{""49013"": ""100""}",Duchesne,49013,FALSE,FALSE,America/Denver
8,84010,40.86775,-111.86726,Bountiful,UT,Utah,TRUE,,46218,1186.5,49011,Davis,"{""49011"": ""100""}",Davis,49011,FALSE,FALSE,America/Denver
9,84013,40.29589,-112.09228,Cedar Valley,UT,Utah,TRUE,,1163,11.2,49049,Utah,"{""49049"": ""100""}",Utah,49049,FALSE,FALSE,America/Denver
10,84014,40.93212,-111.88505,Centerville,UT,Utah,TRUE,,17343,1215.9,49011,Davis,"{""49011"": ""100""}",Davis,49011,FALSE,FALSE,America/Denver
11,84015,41.12088,-112.06121,Clearfield,UT,Utah,TRUE,,66410,1212,49011,Davis,"{""49011"": ""100""}",Davis,49011,FALSE,FALSE,America/Denver
