,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
201,84645,39.84447,-111.8442,Mona,UT,Utah,TRUE,,3021,13.8,49023,Juab,"{""49023"": ""100""}",Juab,49023,FALSE,FALSE,America/Denver
202,84646,39.54217,-111.61378,Moroni,UT,Utah,TRUE,,1634,16.2,49039,Sanpete,"{""49039"": ""100""}",Sanpete,49039,FALSE,FALSE,America/Denver
203,84647,39.54111,-111.41587,Mount Pleasant,UT,Utah,TRUE,,4096,14.4,49039,Sanpete,"{""49039"": ""100""}",Sanpete,49039,FALSE,FALSE,America/Denver
204,84648,39.68585,-111.86448,Nephi,UT,Utah,TRUE,,6484,16.1,49023,Juab,"{""49023"": ""100""}",Juab,49023,FALSE,FALSE,America/Denver
205,84649,39.33902,-112.33759,Oak City,UT,Utah,TRUE,,826,1.4,49027,Millard,"{""49027"": ""100""}",Millard,49027,FALSE,FALSE,America/Denver
206,84651,39.95422,-111.71464,Payson,UT,Utah,TRUE,,26710,94.7,49049,Utah,"{""49049"": ""100""}",Utah,49049,FALSE,FALSE,America/Denver
207,84652,39.01694,-111.86822,Redmond,UT,Utah,TRUE,,802,26.3,49041,Sevier,"{""49041"": ""100""}",Sevier,49041,FALSE,FALSE,America/Denver
208,84653,40.02761,-111.64407,Salem,UT,Utah,TRUE,,9313,162.1,49049,Utah,"{""49049"": ""100""}",Utah,49049,FALSE,FALSE,America/Denver
209,84654,38.87875,-111.62476,Salina,UT,Utah,TRUE,,2686,4.2,49041,Sevier,"{""49041"": ""100""}",Sevier,49041,FALSE,FALSE,America/Denver
210,84655,39.97373,-111.80373,Santaquin,UT,Utah,TRUE,,13106,111.1,49049,Utah,"{""49049"": ""100""}",Utah,49049,FALSE,FALSE,America/Denver
211,84656,39.13949,-112.07459,Scipio,UT,Utah,TRUE,,308,6.3,49027,Millard,"{""49027"": ""97.68"", ""49023"": ""2.32""}",Millard|Juab,49027|49023,FALSE,FALSE,America/Denver
