zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
20105,38.96273,-77.61002,Aldie,VA,Virginia,TRUE,,25168,261.7,51107,Loudoun,"{""51107"": ""100""}",Loudoun,51107,FALSE,FALSE,America/New_York
20106,38.68699,-78.01175,Amissville,VA,Virginia,TRUE,,5087,32.6,51047,Culpeper,"{""51047"": ""61.42"", ""51157"": ""34.89"", ""51061"": ""3.7""}",Culpeper|Rappahannock|Fauquier,51047|51157|51061,FALSE,FALSE,America/New_York
20109,38.79282,-77.52658,Manassas,VA,Virginia,TRUE,,43093,817.5,51153,Prince William,"{""51153"": ""99.72"", ""51683"": ""0.28""}",Prince William|Manassas,51153|51683,FALSE,FALSE,America/New_York
20110,38.74711,-77.48591,Manassas,VA,Virginia,TRUE,,47574,1454.2,51683,Manassas,"{""51683"": ""85.96"", ""51153"": ""14.04""}",Manassas|Prince William,51683|51153,FALSE,FALSE,America/New_York
20111,38.74928,-77.43012,Manassas,VA,Virginia,TRUE,,36375,865.4,51153,Prince William,"{""51153"": ""53.34"", ""51685"": ""46.66""}",Prince William|Manassas Park,51153|51685,FALSE,FALSE,America/New_York
20112,38.66651,-77.42484,Manassas,VA,Virginia,TRUE,,26648,263.2,51153,Prince William,"{""51153"": ""100""}",Prince William,51153,FALSE,FALSE,America/New_York
20115,38.82155,-77.9001,Marshall,VA,Virginia,TRUE,,7142,29,51061,Fauquier,"{""51061"": ""100""}",Fauquier,51061,FALSE,FALSE,America/New_York
20117,38.99204,-77.74336,Middleburg,VA,Virginia,TRUE,,2295,19.8,51107,Loudoun,"{""51107"": ""93.72"", ""51061"": ""6.28""}",Loudoun|Fauquier,51107|51061,FALSE,FALSE,America/New_York
20118,38.9678,-77.73746,Middleburg,VA,Virginia,TRUE,,7,262.4,51107,Loudoun,"{""51107"": ""100""}",Loudoun,51107,FALSE,FALSE,America/New_York
20119,38.61839,-77.62492,Catlett,VA,Virginia,TRUE,,3850,23.2,51061,Fauquier,"{""51061"": ""100""}",Fauquier,51061,FALSE,FALSE,America/New_York
20120,38.85433,-77.47715,Centreville,VA,Virginia,TRUE,,41312,928,51059,Fairfax,"{""51059"": ""99.96"", ""51107"": ""0.04""}",Fairfax|Loudoun,51059|51107,FALSE,FALSE,America/New_York
20121,38.81767,-77.46029,Centreville,VA,Virginia,TRUE,,29426,1311.9,51059,Fairfax,"{""51059"": ""100""}",Fairfax,51059,FALSE,FALSE,America/New_York
20124,38.7815,-77.39162,Clifton,VA,Virginia,TRUE,,15114,274.4,51059,Fairfax,"{""51059"": ""100""}",Fairfax,51059,FALSE,FALSE,America/New_York
20129,39.16223,-77.6018,Paeonian Springs,VA,Virginia,TRUE,,522,62.8,51107,Loudoun,"{""51107"": ""100""}",Loudoun,51107,FALSE,FALSE,America/New_York
20130,39.02747,-77.9491,Paris,VA,Virginia,TRUE,,236,11,51043,Clarke,"{""51043"": ""77.58"", ""51061"": ""22.42""}",Clarke|Fauquier,51043|51061,FALSE,FALSE,America/New_York
20132,39.16773,-77.72706,Purcellville,VA,Virginia,TRUE,,18053,84.1,51107,Loudoun,"{""51107"": ""100""}",Loudoun,51107,FALSE,FALSE,America/New_York
