zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
98001,47.30998,-122.2652,Auburn,WA,Washington,TRUE,,33699,699.3,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98002,47.30836,-122.21638,Auburn,WA,Washington,TRUE,,33468,1797.1,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98003,47.30512,-122.31507,Federal Way,WA,Washington,TRUE,,49533,1644.4,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98004,47.61883,-122.20595,Bellevue,WA,Washington,TRUE,,36202,1985.4,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98005,47.61478,-122.16862,Bellevue,WA,Washington,TRUE,,19223,987.7,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98006,47.55748,-122.15081,Bellevue,WA,Washington,TRUE,,37871,1365.3,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98007,47.61445,-122.14381,Bellevue,WA,Washington,TRUE,,29322,2583,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98008,47.60527,-122.11098,Bellevue,WA,Washington,TRUE,,25719,1797.7,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98010,47.31309,-122.00055,Black Diamond,WA,Washington,TRUE,,5602,143.7,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98011,47.75338,-122.20189,Bothell,WA,Washington,TRUE,,33830,1592.6,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98012,47.84156,-122.19911,Bothell,WA,Washington,TRUE,,67427,1698.7,53061,Snohomish,"{""53061"": ""100""}",Snohomish,53061,FALSE,FALSE,America/Los_Angeles
98014,47.66122,-121.89445,Carnation,WA,Washington,TRUE,,6773,57.7,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98019,47.73961,-121.84941,Duvall,WA,Washington,TRUE,,11946,60.3,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98020,47.80022,-122.37266,Edmonds,WA,Washington,TRUE,,19447,1449.7,53061,Snohomish,"{""53061"": ""100""}",Snohomish,53061,FALSE,FALSE,America/Los_Angeles
98021,47.79257,-122.20819,Bothell,WA,Washington,TRUE,,31496,1202.4,53061,Snohomish,"{""53061"": ""100""}",Snohomish,53061,FALSE,FALSE,America/Los_Angeles
98022,47.15032,-121.65482,Enumclaw,WA,Washington,TRUE,,21217,20.2,53033,King,"{""53033"": ""98.3"", ""53053"": ""1.7""}",King|Pierce,53033|53053,FALSE,FALSE,America/Los_Angeles
98023,47.3088,-122.36269,Federal Way,WA,Washington,TRUE,,50201,1876,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98024,47.57493,-121.90112,Fall City,WA,Washington,TRUE,,6890,111.2,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98026,47.83559,-122.33164,Edmonds,WA,Washington,TRUE,,37995,1571.8,53061,Snohomish,"{""53061"": ""100""}",Snohomish,53061,FALSE,FALSE,America/Los_Angeles
98027,47.50138,-121.99933,Issaquah,WA,Washington,TRUE,,30989,214.4,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98028,47.75423,-122.24753,Kenmore,WA,Washington,TRUE,,22738,1557.7,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98029,47.55847,-122.00546,Issaquah,WA,Washington,TRUE,,29250,1261.5,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98030,47.36821,-122.19736,Kent,WA,Washington,TRUE,,38681,2094.8,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98031,47.40491,-122.19562,Kent,WA,Washington,TRUE,,37850,1947.4,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98032,47.39234,-122.25872,Kent,WA,Washington,TRUE,,39074,901.4,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98033,47.67612,-122.19233,Kirkland,WA,Washington,TRUE,,39939,1674.3,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98034,47.71577,-122.2158,Kirkland,WA,Washington,TRUE,,43471,1853,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98036,47.81111,-122.2816,Lynnwood,WA,Washington,TRUE,,40723,1624.7,53061,Snohomish,"{""53061"": ""100""}",Snohomish,53061,FALSE,FALSE,America/Los_Angeles
98037,47.8392,-122.28549,Lynnwood,WA,Washington,TRUE,,30485,2043.5,53061,Snohomish,"{""53061"": ""100""}",Snohomish,53061,FALSE,FALSE,America/Los_Angeles
98038,47.41741,-121.95374,Maple Valley,WA,Washington,TRUE,,35904,208.5,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98039,47.63305,-122.23961,Medina,WA,Washington,TRUE,,3267,873.9,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98040,47.56612,-122.23198,Mercer Island,WA,Washington,TRUE,,25675,1553.1,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98042,47.36623,-122.11717,Kent,WA,Washington,TRUE,,48572,659.5,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98043,47.792,-122.30743,Mountlake Terrace,WA,Washington,TRUE,,21210,2005,53061,Snohomish,"{""53061"": ""100""}",Snohomish,53061,FALSE,FALSE,America/Los_Angeles
98045,47.39158,-121.63471,North Bend,WA,Washington,TRUE,,15339,17.6,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98047,47.26208,-122.24756,Pacific,WA,Washington,TRUE,,7124,1139.1,53033,King,"{""53033"": ""98.34"", ""53053"": ""1.66""}",King|Pierce,53033|53053,FALSE,FALSE,America/Los_Angeles
98050,47.54399,-121.94041,Preston,WA,Washington,TRUE,,432,50.4,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98051,47.34072,-121.88739,Ravensdale,WA,Washington,TRUE,,4451,33.6,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98052,47.68125,-122.12025,Redmond,WA,Washington,TRUE,,70245,1348.3,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98053,47.66565,-122.01946,Redmond,WA,Washington,TRUE,,21993,299.4,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98055,47.44695,-122.20142,Renton,WA,Washington,TRUE,,24332,1960.6,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98056,47.51287,-122.18959,Renton,WA,Washington,TRUE,,35722,1832.1,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98057,47.47142,-122.22029,Renton,WA,Washington,TRUE,,12822,811.1,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98058,47.44181,-122.12439,Renton,WA,Washington,TRUE,,43740,892.5,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98059,47.50223,-122.12101,Renton,WA,Washington,TRUE,,38959,752.8,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98065,47.58459,-121.79164,Snoqualmie,WA,Washington,TRUE,,15958,83.2,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98068,47.44072,-121.34967,Snoqualmie Pass,WA,Washington,TRUE,,444,0.6,53037,Kittitas,"{""53037"": ""80.4"", ""53033"": ""19.6""}",Kittitas|King,53037|53033,FALSE,FALSE,America/Los_Angeles
98070,47.41219,-122.4726,Vashon,WA,Washington,TRUE,,10291,107.6,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98072,47.76117,-122.13215,Woodinville,WA,Washington,TRUE,,23939,509.9,53033,King,"{""53033"": ""86.67"", ""53061"": ""13.33""}",King|Snohomish,53033|53061,FALSE,FALSE,America/Los_Angeles
98074,47.62263,-122.04314,Sammamish,WA,Washington,TRUE,,28775,1041.4,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98075,47.58654,-122.03847,Sammamish,WA,Washington,TRUE,,23996,977.4,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98077,47.75293,-122.05826,Woodinville,WA,Washington,TRUE,,13452,299.7,53033,King,"{""53033"": ""93.18"", ""53061"": ""6.82""}",King|Snohomish,53033|53061,FALSE,FALSE,America/Los_Angeles
98087,47.863,-122.26643,Lynnwood,WA,Washington,TRUE,,41083,2849.3,53061,Snohomish,"{""53061"": ""100""}",Snohomish,53061,FALSE,FALSE,America/Los_Angeles
98092,47.28763,-122.12871,Auburn,WA,Washington,TRUE,,47824,415.2,53033,King,"{""53033"": ""82.57"", ""53053"": ""17.43""}",King|Pierce,53033|53053,FALSE,FALSE,America/Los_Angeles
98101,47.6113,-122.33465,Seattle,WA,Washington,TRUE,,13492,10033.1,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98102,47.63642,-122.32218,Seattle,WA,Washington,TRUE,,26023,7776.1,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98103,47.67332,-122.34254,Seattle,WA,Washington,TRUE,,53163,4416.9,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98104,47.60169,-122.32849,Seattle,WA,Washington,TRUE,,14522,7245.8,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98105,47.66068,-122.28403,Seattle,WA,Washington,TRUE,,50434,4717.7,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98106,47.54349,-122.35435,Seattle,WA,Washington,TRUE,,25940,1819,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98107,47.66762,-122.3781,Seattle,WA,Washington,TRUE,,27534,4838.8,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98108,47.54131,-122.31292,Seattle,WA,Washington,TRUE,,23639,1219,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98109,47.63159,-122.34417,Seattle,WA,Washington,TRUE,,30384,5883.2,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98110,47.64469,-122.54353,Bainbridge Island,WA,Washington,TRUE,,24486,342.4,53035,Kitsap,"{""53035"": ""100""}",Kitsap,53035,FALSE,FALSE,America/Los_Angeles
98112,47.63392,-122.28893,Seattle,WA,Washington,TRUE,,25474,3112.2,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98115,47.685,-122.28216,Seattle,WA,Washington,TRUE,,54109,3172.3,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98116,47.57397,-122.39507,Seattle,WA,Washington,TRUE,,27338,3568.7,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98117,47.6882,-122.38148,Seattle,WA,Washington,TRUE,,35645,3570.9,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98118,47.54245,-122.2688,Seattle,WA,Washington,TRUE,,49181,3037.8,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98119,47.63995,-122.37005,Seattle,WA,Washington,TRUE,,26322,4169.6,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98121,47.61541,-122.34669,Seattle,WA,Washington,TRUE,,19494,16952,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98122,47.61151,-122.29184,Seattle,WA,Washington,TRUE,,39305,6558.8,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98125,47.71641,-122.29812,Seattle,WA,Washington,TRUE,,42981,3075.3,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98126,47.54768,-122.37442,Seattle,WA,Washington,TRUE,,23646,2981.6,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98133,47.73988,-122.34425,Seattle,WA,Washington,TRUE,,48650,2649.4,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98134,47.57783,-122.33743,Seattle,WA,Washington,TRUE,,833,95.3,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98136,47.53676,-122.38986,Seattle,WA,Washington,TRUE,,16997,2854.7,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98144,47.58596,-122.29237,Seattle,WA,Washington,TRUE,,32439,3685.3,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98146,47.50009,-122.35751,Seattle,WA,Washington,TRUE,,27780,2302.4,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98148,47.44375,-122.32508,Seattle,WA,Washington,TRUE,,12149,1522.9,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98154,47.60641,-122.33372,Seattle,WA,Washington,TRUE,,0,0,53033,King,"{""53033"": ""0""}",King,53033,FALSE,FALSE,America/Los_Angeles
98155,47.75601,-122.30034,Seattle,WA,Washington,TRUE,,35041,1791,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98158,47.45015,-122.30798,Seattle,WA,Washington,TRUE,,0,0,53033,King,"{""53033"": ""0""}",King,53033,FALSE,FALSE,America/Los_Angeles
98164,47.60596,-122.33203,Seattle,WA,Washington,TRUE,,177,19312.6,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98166,47.45281,-122.3501,Seattle,WA,Washington,TRUE,,21452,1464.6,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98168,47.48887,-122.30122,Seattle,WA,Washington,TRUE,,33401,1450.2,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98174,47.60457,-122.33536,Seattle,WA,Washington,TRUE,,0,0,53033,King,"{""53033"": ""0""}",King,53033,FALSE,FALSE,America/Los_Angeles
98177,47.74226,-122.37079,Seattle,WA,Washington,TRUE,,20676,1409.1,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98178,47.49929,-122.24706,Seattle,WA,Washington,TRUE,,27335,2178.2,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98188,47.44822,-122.27317,Seattle,WA,Washington,TRUE,,25175,1290.8,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98195,47.64925,-122.30919,Seattle,WA,Washington,TRUE,,48,264.9,53033,King,"{""53033"": ""0""}",King,53033,FALSE,FALSE,America/Los_Angeles
98198,47.3946,-122.31122,Seattle,WA,Washington,TRUE,,37966,1901.3,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98199,47.65137,-122.40272,Seattle,WA,Washington,TRUE,,22720,2094.4,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98201,47.99339,-122.21327,Everett,WA,Washington,TRUE,,29792,1538.8,53061,Snohomish,"{""53061"": ""100""}",Snohomish,53061,FALSE,FALSE,America/Los_Angeles
98203,47.94354,-122.23329,Everett,WA,Washington,TRUE,,36065,1299.3,53061,Snohomish,"{""53061"": ""100""}",Snohomish,53061,FALSE,FALSE,America/Los_Angeles
98204,47.90132,-122.26088,Everett,WA,Washington,TRUE,,42364,2037.4,53061,Snohomish,"{""53061"": ""100""}",Snohomish,53061,FALSE,FALSE,America/Los_Angeles
98207,47.98799,-122.22302,Everett,WA,Washington,TRUE,,1684,2973.1,53061,Snohomish,"{""53061"": ""100""}",Snohomish,53061,FALSE,FALSE,America/Los_Angeles
98208,47.90187,-122.1865,Everett,WA,Washington,TRUE,,58162,1388.7,53061,Snohomish,"{""53061"": ""100""}",Snohomish,53061,FALSE,FALSE,America/Los_Angeles
98220,48.68497,-122.19692,Acme,WA,Washington,TRUE,,779,14.7,53073,Whatcom,"{""53073"": ""100""}",Whatcom,53073,FALSE,FALSE,America/Los_Angeles
98221,48.50321,-122.65492,Anacortes,WA,Washington,TRUE,,21699,157.9,53057,Skagit,"{""53057"": ""99.53"", ""53055"": ""0.47""}",Skagit|San Juan,53057|53055,FALSE,FALSE,America/Los_Angeles
98222,48.56085,-122.80263,Blakely Island,WA,Washington,TRUE,,84,4.9,53055,San Juan,"{""53055"": ""100""}",San Juan,53055,FALSE,FALSE,America/Los_Angeles
98223,48.21048,-121.95172,Arlington,WA,Washington,TRUE,,44110,53.3,53061,Snohomish,"{""53061"": ""100""}",Snohomish,53061,FALSE,FALSE,America/Los_Angeles
98224,47.66382,-121.51302,Baring,WA,Washington,TRUE,,214,0.4,53033,King,"{""53033"": ""100""}",King,53033,FALSE,FALSE,America/Los_Angeles
98225,48.75302,-122.50144,Bellingham,WA,Washington,TRUE,,51697,1580.4,53073,Whatcom,"{""53073"": ""100""}",Whatcom,53073,FALSE,FALSE,America/Los_Angeles
98226,48.80061,-122.42744,Bellingham,WA,Washington,TRUE,,43892,158,53073,Whatcom,"{""53073"": ""100""}",Whatcom,53073,FALSE,FALSE,America/Los_Angeles
98229,48.6955,-122.41046,Bellingham,WA,Washington,TRUE,,32801,258.1,53073,Whatcom,"{""53073"": ""99.01"", ""53057"": ""0.99""}",Whatcom|Skagit,53073|53057,FALSE,FALSE,America/Los_Angeles
98230,48.95408,-122.71066,Blaine,WA,Washington,TRUE,,17604,155.6,53073,Whatcom,"{""53073"": ""100""}",Whatcom,53073,FALSE,FALSE,America/Los_Angeles
98232,48.56535,-122.41566,Bow,WA,Washington,TRUE,,4395,31.7,53057,Skagit,"{""53057"": ""100""}",Skagit,53057,FALSE,FALSE,America/Los_Angeles
98233,48.50393,-122.35082,Burlington,WA,Washington,TRUE,,16379,186.7,53057,Skagit,"{""53057"": ""100""}",Skagit,53057,FALSE,FALSE,America/Los_Angeles
98235,48.46475,-122.23332,Clearlake,WA,Washington,TRUE,,73,919.3,53057,Skagit,"{""53057"": ""100""}",Skagit,53057,FALSE,FALSE,America/Los_Angeles
98236,47.95814,-122.40474,Clinton,WA,Washington,TRUE,,6002,101.2,53029,Island,"{""53029"": ""100""}",Island,53029,FALSE,FALSE,America/Los_Angeles
98237,48.59328,-121.68519,Concrete,WA,Washington,TRUE,,4410,5.3,53057,Skagit,"{""53057"": ""99.98"", ""53073"": ""0.02""}",Skagit|Whatcom,53057|53073,FALSE,FALSE,America/Los_Angeles
98238,48.33523,-122.34459,Conway,WA,Washington,TRUE,,0,0,53057,Skagit,"{""53057"": ""100""}",Skagit,53057,FALSE,FALSE,America/Los_Angeles
98239,48.1916,-122.66083,Coupeville,WA,Washington,TRUE,,7215,95.2,53029,Island,"{""53029"": ""100""}",Island,53029,FALSE,FALSE,America/Los_Angeles
98240,48.9473,-122.62133,Custer,WA,Washington,TRUE,,3145,58.7,53073,Whatcom,"{""53073"": ""100""}",Whatcom,53073,FALSE,FALSE,America/Los_Angeles
98241,48.2237,-121.32766,Darrington,WA,Washington,TRUE,,1920,1.8,53061,Snohomish,"{""53061"": ""85.06"", ""53057"": ""14.94""}",Snohomish|Skagit,53061|53057,FALSE,FALSE,America/Los_Angeles
98243,48.62096,-123.00505,Deer Harbor,WA,Washington,TRUE,,589,44.3,53055,San Juan,"{""53055"": ""100""}",San Juan,53055,FALSE,FALSE,America/Los_Angeles
98244,48.80005,-121.9544,Deming,WA,Washington,TRUE,,2725,2.2,53073,Whatcom,"{""53073"": ""100""}",Whatcom,53073,FALSE,FALSE,America/Los_Angeles
98245,48.66637,-122.91025,Eastsound,WA,Washington,TRUE,,3826,46.2,53055,San Juan,"{""53055"": ""100""}",San Juan,53055,FALSE,FALSE,America/Los_Angeles
98247,48.908,-122.32248,Everson,WA,Washington,TRUE,,9792,59.3,53073,Whatcom,"{""53073"": ""100""}",Whatcom,53073,FALSE,FALSE,America/Los_Angeles
98248,48.8659,-122.62,Ferndale,WA,Washington,TRUE,,25391,138.4,53073,Whatcom,"{""53073"": ""100""}",Whatcom,53073,FALSE,FALSE,America/Los_Angeles
98249,48.01818,-122.5391,Freeland,WA,Washington,TRUE,,4399,106.5,53029,Island,"{""53029"": ""100""}",Island,53029,FALSE,FALSE,America/Los_Angeles
98250,48.55815,-123.0915,Friday Harbor,WA,Washington,TRUE,,8107,50.4,53055,San Juan,"{""53055"": ""100""}",San Juan,53055,FALSE,FALSE,America/Los_Angeles
98251,47.90263,-121.54536,Gold Bar,WA,Washington,TRUE,,4108,10.4,53061,Snohomish,"{""53061"": ""100""}",Snohomish,53061,FALSE,FALSE,America/Los_Angeles
98252,48.07309,-121.68949,Granite Falls,WA,Washington,TRUE,,9697,14,53061,Snohomish,"{""53061"": ""100""}",Snohomish,53061,FALSE,FALSE,America/Los_Angeles
98253,48.08535,-122.57687,Greenbank,WA,Washington,TRUE,,1794,55.9,53029,Island,"{""53029"": ""100""}",Island,53029,FALSE,FALSE,America/Los_Angeles
98255,48.52207,-121.98931,Hamilton,WA,Washington,TRUE,,164,122.8,53057,Skagit,"{""53057"": ""100""}",Skagit,53057,FALSE,FALSE,America/Los_Angeles
98256,47.82999,-121.43037,Index,WA,Washington,TRUE,,348,1.6,53061,Snohomish,"{""53061"": ""100""}",Snohomish,53061,FALSE,FALSE,America/Los_Angeles
98257,48.41605,-122.5095,La Conner,WA,Washington,TRUE,,4207,88.5,53057,Skagit,"{""53057"": ""100""}",Skagit,53057,FALSE,FALSE,America/Los_Angeles
98258,48.0424,-122.06897,Lake Stevens,WA,Washington,TRUE,,33205,444.3,53061,Snohomish,"{""53061"": ""100""}",Snohomish,53061,FALSE,FALSE,America/Los_Angeles
98260,48.03069,-122.45086,Langley,WA,Washington,TRUE,,5685,83,53029,Island,"{""53029"": ""100""}",Island,53029,FALSE,FALSE,America/Los_Angeles
98261,48.48381,-122.88303,Lopez Island,WA,Washington,TRUE,,2796,36.2,53055,San Juan,"{""53055"": ""100""}",San Juan,53055,FALSE,FALSE,America/Los_Angeles
98262,48.69276,-122.6638,Lummi Island,WA,Washington,TRUE,,903,37.7,53073,Whatcom,"{""53073"": ""100""}",Whatcom,53073,FALSE,FALSE,America/Los_Angeles
98263,48.52196,-122.06694,Lyman,WA,Washington,TRUE,,83,197.1,53057,Skagit,"{""53057"": ""100""}",Skagit,53057,FALSE,FALSE,America/Los_Angeles
98264,48.95016,-122.46036,Lynden,WA,Washington,TRUE,,20890,141.5,53073,Whatcom,"{""53073"": ""100""}",Whatcom,53073,FALSE,FALSE,America/Los_Angeles
98266,48.9533,-122.12832,Maple Falls,WA,Washington,TRUE,,4167,67.2,53073,Whatcom,"{""53073"": ""100""}",Whatcom,53073,FALSE,FALSE,America/Los_Angeles
98267,48.44342,-121.31629,Marblemount,WA,Washington,TRUE,,334,0.4,53057,Skagit,"{""53057"": ""100""}",Skagit,53057,FALSE,FALSE,America/Los_Angeles
98270,48.0596,-122.14454,Marysville,WA,Washington,TRUE,,51293,1383.7,53061,Snohomish,"{""53061"": ""100""}",Snohomish,53061,FALSE,FALSE,America/Los_Angeles
98271,48.09415,-122.2345,Marysville,WA,Washington,TRUE,,29130,241.4,53061,Snohomish,"{""53061"": ""100""}",Snohomish,53061,FALSE,FALSE,America/Los_Angeles
98272,47.84931,-121.88521,Monroe,WA,Washington,TRUE,,30051,106.2,53061,Snohomish,"{""53061"": ""100""}",Snohomish,53061,FALSE,FALSE,America/Los_Angeles
98273,48.40393,-122.36933,Mount Vernon,WA,Washington,TRUE,,31085,142.7,53057,Skagit,"{""53057"": ""100""}",Skagit,53057,FALSE,FALSE,America/Los_Angeles
98274,48.35934,-122.14555,Mount Vernon,WA,Washington,TRUE,,17768,48.6,53057,Skagit,"{""53057"": ""100""}",Skagit,53057,FALSE,FALSE,America/Los_Angeles
98275,47.9133,-122.29926,Mukilteo,WA,Washington,TRUE,,21336,1092.2,53061,Snohomish,"{""53061"": ""100""}",Snohomish,53061,FALSE,FALSE,America/Los_Angeles
98276,48.92698,-122.32597,Nooksack,WA,Washington,TRUE,,727,1413.2,53073,Whatcom,"{""53073"": ""100""}",Whatcom,53073,FALSE,FALSE,America/Los_Angeles
98277,48.31624,-122.63163,Oak Harbor,WA,Washington,TRUE,,38553,263.5,53029,Island,"{""53029"": ""100""}",Island,53029,FALSE,FALSE,America/Los_Angeles
98278,48.34128,-122.66293,Oak Harbor,WA,Washington,TRUE,,2176,159.6,53029,Island,"{""53029"": ""100""}",Island,53029,FALSE,FALSE,America/Los_Angeles
